episode,steps,reward,avg_reward_100,success_rate_100,epsilon,avg_loss,aligned
92,800,-757625.2224,-346755.5114,0.0000,0.8602,376.647917,0
93,800,4932.2753,-342973.9223,0.0000,0.8586,371.892097,0
94,800,23045.8126,-339080.0953,0.0000,0.8571,362.980980,0
95,800,6164.8638,-335445.9378,0.0000,0.8556,368.085942,0
96,800,-249519.1185,-334550.8668,0.0000,0.8541,362.911120,0
97,800,-298636.0607,-334180.6111,0.0000,0.8526,378.350435,0
98,800,9070.7370,-330678.0463,0.0000,0.8510,367.038015,0
99,800,5526.8858,-327282.0369,0.0000,0.8495,350.773857,0
100,800,-253053.3274,-326539.7498,0.0000,0.8480,348.846844,0
101,800,-102435.9165,-319754.5474,0.0000,0.8465,338.968056,0
102,800,-800535.0000,-323108.8935,0.0000,0.8450,346.884386,0
103,800,-764749.4001,-322455.5137,0.0000,0.8434,355.617486,0
104,800,-161004.0664,-320042.6807,0.0000,0.8419,342.488669,0
105,800,-79776.9713,-320729.7642,0.0000,0.8404,358.862052,0
106,800,-180369.9249,-322520.7163,0.0000,0.8389,339.066553,0
107,800,5184.4403,-314542.8674,0.0000,0.8374,362.595245,0
108,800,-598651.9822,-317932.7868,0.0000,0.8358,357.482894,0
109,800,-747952.3049,-317398.6350,0.0000,0.8343,334.525984,0
110,800,18129.3388,-313252.3520,0.0000,0.8328,342.184381,0
111,800,-246363.3023,-312262.2843,0.0000,0.8313,369.367320,0
112,800,20811.2459,-312017.9086,0.0000,0.8298,329.227479,0
113,800,-741873.8287,-311429.1054,0.0000,0.8282,355.953186,0
114,800,-800465.0000,-319470.0638,0.0000,0.8267,354.588564,0
115,800,3740.5263,-311527.7514,0.0000,0.8252,343.519311,0
116,800,-1311.8660,-304113.0366,0.0000,0.8237,321.386657,0
117,800,21376.7346,-303885.1753,0.0000,0.8222,331.870873,0
118,800,-315751.1242,-299048.6405,0.0000,0.8206,343.199073,0
119,800,12206.2625,-298967.5367,0.0000,0.8191,344.529854,0
120,800,-50188.1581,-291483.1112,0.0000,0.8176,347.236713,0
121,800,-206039.3274,-293548.6163,0.0000,0.8161,321.882348,0
122,800,8084.6367,-293421.8108,0.0000,0.8146,336.331282,0
123,800,-118806.3058,-294621.8727,0.0000,0.8130,316.539037,0
124,800,12229.8155,-294572.5509,0.0000,0.8115,337.237251,0
125,800,-76835.1526,-295391.2508,0.0000,0.8100,323.029403,0
126,800,-62165.3059,-292224.8175,0.0000,0.8085,332.578485,0
127,800,13342.0908,-292177.5314,0.0000,0.8070,307.971220,0
128,800,2959.1887,-288484.0017,0.0000,0.8054,320.045802,0
129,800,-88247.3096,-289486.8466,0.0000,0.8039,331.715067,0
130,800,-800545.0000,-294755.3860,0.0000,0.8024,296.393382,0
131,800,-767.4235,-289196.4249,0.0000,0.8009,288.451062,0
132,800,3564.7636,-281192.4287,0.0000,0.7994,311.548400,0
133,800,6241.8429,-273142.6744,0.0000,0.7978,318.884703,0
134,800,-11132.2802,-265248.0972,0.0000,0.7963,283.665657,0
135,800,18099.4506,-265204.1683,0.0000,0.7948,304.946219,0
136,800,-143115.7302,-266799.9063,0.0000,0.7933,301.538123,0
137,800,11947.3902,-266653.3619,0.0000,0.7918,307.570799,0
138,800,-69.6743,-266731.1603,0.0000,0.7902,298.186032,0
139,800,-293186.6094,-269736.0992,0.0000,0.7887,302.020445,0
140,800,8955.6689,-261703.7135,0.0000,0.7872,286.976657,0
141,800,2838.4010,-255846.7848,0.0000,0.7857,301.853049,0
142,800,6982.9181,-255809.8118,0.0000,0.7842,286.293936,0
143,800,9349.1623,-255812.8126,0.0000,0.7826,274.252078,0
144,800,-62235.3114,-248551.3362,0.0000,0.7811,281.291646,0
145,800,16884.4840,-241286.2770,0.0000,0.7796,290.696633,0
146,800,-122013.6338,-234619.7620,0.0000,0.7781,269.868840,0
147,800,-112303.3000,-234806.1431,0.0000,0.7766,283.482580,0
148,800,24180.5427,-234608.9787,0.0000,0.7750,276.411541,0
149,800,6309.7696,-226541.4310,0.0000,0.7735,299.624357,0
150,800,-116523.7726,-227863.8096,0.0000,0.7720,274.483411,0
151,800,-197195.4745,-229810.4709,0.0000,0.7705,269.502664,0
152,800,-157163.0001,-227873.4033,0.0000,0.7690,271.933470,0
153,800,17726.0876,-220045.0812,0.0000,0.7674,261.779834,0
154,800,1261.8347,-211989.7311,0.0000,0.7659,275.056806,0
155,800,20386.7168,-203869.2754,0.0000,0.7644,278.193920,0
156,800,-800525.0000,-204189.6744,0.0000,0.7629,267.753520,0
157,800,-93465.1702,-200077.7089,0.0000,0.7614,285.670205,0
158,800,9254.3612,-198989.2194,0.0000,0.7598,270.463924,0
159,800,-114870.8503,-200281.5397,0.0000,0.7583,287.773627,0
160,800,-59790.8795,-192966.6596,0.0000,0.7568,267.477710,0
161,800,-484924.3414,-189819.6433,0.0000,0.7553,272.126502,0
162,800,4701.8493,-189768.1313,0.0000,0.7538,281.940233,0
163,800,-276546.7067,-192704.8699,0.0000,0.7522,269.159652,0
164,800,-800475.0000,-192704.2199,0.0000,0.7507,279.210654,0
165,800,-800515.0000,-200812.2759,0.0000,0.7492,258.395498,0
